sites,LIC,MPC,LC,YTM,CRP,HB,CFB,NDVI1,NDVI7,Rough,River,Road,Resd,Crop,HFI,group
N1n1,0,4,0,0,0,1,4,6334,8649,265,707.1068,500,3041.381,2236.068,1020,out
N1n2,3,2,0,0,0,0,0,6334,8649,265,707.1068,500,3041.381,2236.068,1020,out
N1n21,0,1,1,1,0,0,2,5832,8682,340,500,0,2061.553,1414.214,1067,out
N1n23,1,2,1,3,0,0,0,6497,8821,376,1414.214,500,2549.51,1500,861,in
N1n28,1,11,0,2,0,0,0,6263,9005,359,1000,0,2500,1581.139,888,out
N1n3,4,9,2,1,0,6,5,5763,8236,246,500,0,1500,707.1068,980,out
N1n36,0,1,8,0,0,0,0,5907,8682,264,707.1068,0,2000,1118.034,917,out
N1n37,1,6,16,2,0,0,1,5763,8682,246,500,0,1500,707.1068,980,out
N1n41,62,0,7,0,0,17,0,5756,7890,341,0,0,500,707.1068,1432,out
N1n46,1,6,1,0,0,15,10,5756,7890,341,0,0,500,707.1068,1432,out
N1n5,8,23,12,1,0,49,0,6045,8580,312,0,500,1000,2061.553,1331,out
N1n53,0,6,3,0,0,17,0,5866,8192,245,0,0,707.1068,1500,1932,out
N1n6,2,14,0,0,0,60,39,6045,8673,312,0,500,1000,2061.553,1331,out
N1n66,0,7,2,0,0,13,0,6045,8580,312,0,500,1000,2061.553,1331,out
N2m6,0,0,0,0,0,0,0,5350,9005,371,0,707.1068,8514.693,7500,159,in
N2m7,0,0,0,0,2,0,0,5232,8957,340,1000,0,7017.834,6000,204,in
N2m9,0,1,0,0,0,1,0,6405,8925,359,0,500,6020.797,5000,202,in
N2m9b,0,1,1,6,0,0,0,6345,8925,290,500,0,5590.17,4527.692,672,in
N2n0,0,0,0,0,0,1,0,6524,8753,375,1118.034,0,4031.129,3000,795,in
N2n3,4,1,9,1,0,0,1,5753,8032,260,707.1068,0,1414.214,500,947,out
N2n4,0,12,4,3,0,0,1,6172,8686,348,500,500,1802.776,1000,960,out
N2n42,8,20,2,1,0,16,2,5526,8030,333,500,0,707.1068,500,1261,out
N2n44,19,14,5,0,0,40,0,5586,8111,260,500,0,1118.034,707.1068,1029,out
N2n5,4,2,0,0,0,8,0,5866,8192,245,0,0,707.1068,1500,1932,out
N2n54,4,6,0,0,0,37,3,5681,7626,294,500,0,1118.034,1581.139,1890,out
N2n58,9,6,0,0,0,2,0,5476,8030,200,500,0,1000,1118.034,1322,out
N2n6,0,2,3,0,0,11,6,5715,8192,232,0,0,1414.214,2061.553,1998,out
N2n61,0,1,3,7,0,29,0,6185,8673,438,500,500,1581.139,2500,1060,out
N2n7,4,23,8,0,0,8,17,6692,8729,614,0,1118.034,2692.583,3535.534,570,out
N3m8,0,0,0,0,0,0,0,5515,8745,223,1000,1000,6800.735,5590.17,198,in
N3n2,0,3,0,2,0,1,0,7160,8874,267,0,2000,3905.125,2828.427,1136,in
N3n3,1,0,0,1,0,0,0,6172,8686,348,500,500,1802.776,1000,960,out
N3n4,23,0,13,2,0,36,11,6084,8706,233,0,500,2061.553,1581.139,955,out
N3n5,4,1,5,0,0,1,0,5359,8252,351,707.1068,500,2549.51,2500,1446,out
N3n52,3,23,4,0,0,54,2,5457,7626,182,0,0,2236.068,2500,1517,out
N3n54,2,1,2,0,0,2,1,5393,8252,226,500,0,2061.553,2121.32,1446,out
N3n6,0,1,0,0,0,3,8,5759,8362,261,0,0,2121.32,2692.583,1524,out
N3n62,0,0,0,0,0,7,1,5759,8362,261,0,0,2121.32,2692.583,1524,out
N3n7,5,9,5,0,0,14,16,6042,8362,444,500,500,2500,3162.278,799,out
N3n78,0,1,0,0,0,9,0,5817,8470,342,500,0,2828.427,3354.102,779,out
N4n1,0,0,0,0,0,0,0,6969,8912,235,0,1802.776,4301.163,3201.562,760,in
N4n1b,1,2,0,0,0,0,0,6653,8800,393,500,2236.068,4609.772,3535.534,747,in
N4n2,0,8,0,1,0,0,0,6827,8524,391,500,2000,3905.125,2915.476,803,in
N4n3,4,2,1,0,0,5,1,6827,8524,358,0,1000,3354.102,2549.51,806,in
N4n4,13,28,1,10,0,6,1,6095,8715,342,707.1068,0,3000,2692.583,906,out
N4n47,0,5,2,2,0,0,0,6812,8605,378,500,500,3162.278,2500,847,in
N4n5,3,3,1,1,0,0,0,5829,8706,371,500,0,2500,2236.068,1182,out
N4n51,1,6,1,0,0,17,0,5359,8252,351,707.1068,500,2549.51,2500,1446,out
N4n54,8,13,2,1,0,7,0,5672,8604,467,707.1068,707.1068,3535.534,3354.102,729,out
N4n58,3,14,4,0,0,7,0,6095,8706,342,707.1068,0,3000,2692.583,906,out
N4n6,12,0,3,0,0,12,1,5492,8177,266,0,0,3354.102,3535.534,1182,out
N4n67,2,5,0,1,0,9,0,5700,8604,376,500,707.1068,3640.055,3605.551,1203,out
N4n7,7,5,9,0,0,53,9,5527,7671,251,500,0,3605.551,3905.125,1170,out
N5n4,4,5,0,0,0,0,0,6600,8715,460,1000,0,3535.534,3041.381,850,out
N5n6,12,1,1,0,0,1,0,5995,8177,280,0,500,3807.886,3905.125,1402,out
N5n7,30,7,5,0,0,0,0,5873,8177,338,500,0,4031.129,4609.772,663,out
N5n75,8,10,13,0,0,2,2,5418,8177,287,500,0,4031.129,4242.641,704,out
N6n2,0,7,0,2,1,0,0,6300,9005,398,1414.214,1581.139,5147.815,4242.641,705,in
N6n3,0,0,0,24,0,0,0,5569,8977,429,707.1068,0,5099.02,4500,748,in
N7n4,0,1,3,30,1,0,0,5405,8977,348,500,0,5590.17,4924.429,792,in
N7n4b,1,0,0,3,2,1,0,5559,8977,179,500,0,6082.763,4743.417,707,out
